key,p_x,p_y
24ISL.X22,4.7,2.8
24ISL.X5,2.875,0
24ISL.X9,3.25,0
24ISL.X23,3.625,0
25BRA.X1,6,3
25BRA.X2,4,2.5
25BRA.X3,4.2,3.5
25BRA.X5,3.4,3.2
25BRA.X9,2.3,3
25BRA.X10,2.3,4.3
25BRA.X11,3,3.7
25BRA.X12,3.5,4.5
25BRA.X15,3,2.5
25BRA.X19,3,1.8
25BRA.X22,3.8,1.5
25BRA.X7,2.875,6
25BRA.X17,3.25,6
25BRA.X20,3.625,6
25CRC.X1,0.5,3
25CRC.X2,2.7,3.8
25CRC.X3,2.7,3
25CRC.X5,3.7,3.4
25CRC.X6,2.7,2.4
25CRC.X8,3,1.5
25CRC.X10,3.7,2.4
25CRC.X11,4.5,3
25CRC.X16,3,4.5
25CRC.X20,3.25,2.5
25CRC.X21,5,3
25CRC.X7,2.875,0
25CRC.X15,3.25,0
25CRC.X17,3.625,0
26SRB.X1,,
26SRB.X3,,
26SRB.X4,,
26SRB.X6,,
26SRB.X9,,
26SRB.X10,,
26SRB.X11,,
26SRB.X15,,
26SRB.X17,,
26SRB.X20,,
26SRB.X21,,
26SRB.X18,,
26SRB.X22,,
26SUI.X1,,
26SUI.X2,,
26SUI.X5,,
26SUI.X9,,
26SUI.X10,,
26SUI.X11,,
26SUI.X13,,
26SUI.X14,,
26SUI.X15,,
26SUI.X22,,
26SUI.X23,,
26SUI.X7,,
26SUI.X18,,
26SUI.X19,,
27GER.X1,,
27GER.X3,,
27GER.X7,,
27GER.X8,,
27GER.X9,,
27GER.X11,,
27GER.X13,,
27GER.X16,,
27GER.X17,,
27GER.X18,,
27GER.X19,,
27GER.X20,,
27GER.X21,,
27GER.X23,,
27SWE.X1,,
27SWE.X2,,
27SWE.X3,,
27SWE.X4,,
27SWE.X6,,
27SWE.X7,,
27SWE.X8,,
27SWE.X9,,
27SWE.X10,,
27SWE.X17,,
27SWE.X20,,
27SWE.X11,,
27SWE.X21,,
27SWE.X22,,
28KOR.X23,,
28KOR.X2,,
28KOR.X7,,
28KOR.X8,,
28KOR.X11,,
28KOR.X12,,
28KOR.X16,,
28KOR.X17,,
28KOR.X18,,
28KOR.X19,,
28KOR.X20,,
28KOR.X10,,
28KOR.X14,,
28KOR.X15,,
28MEX.X13,,
28MEX.X3,,
28MEX.X7,,
28MEX.X11,,
28MEX.X14,,
28MEX.X15,,
28MEX.X16,,
28MEX.X18,,
28MEX.X21,,
28MEX.X22,,
28MEX.X23,,
28MEX.X4,,
28MEX.X10,,
28MEX.X17,,
29BEL.X1,,
29BEL.X2,,
29BEL.X5,,
29BEL.X6,,
29BEL.X7,,
29BEL.X9,,
29BEL.X10,,
29BEL.X11,,
29BEL.X14,,
29BEL.X15,,
29BEL.X20,,
29BEL.X8,,
29BEL.X17,,
29BEL.X21,,
29TUN.X1,,
29TUN.X2,,
29TUN.X4,,
29TUN.X7,,
29TUN.X8,,
29TUN.X9,,
29TUN.X10,,
29TUN.X11,,
29TUN.X12,,
29TUN.X13,,
29TUN.X17,,
29TUN.X3,,
29TUN.X21,,
29TUN.X23,,
30ENG.X1,6,3
30ENG.X2,4,2.1
30ENG.X5,3.7,3
30ENG.X6,4,4.5
30ENG.X7,2.8,3.5
30ENG.X8,3.25,2.8
30ENG.X9,1.5,3
30ENG.X10,2,3
30ENG.X12,3.5,1.5
30ENG.X18,3.25,3.8
30ENG.X21,2.8,2.4
30ENG.X3,2.875,6
30ENG.X11,3.25,6
30ENG.X17,3.625,6
30PAN.X1,0.5,3
30PAN.X2,3,4.5
30PAN.X4,2.5,2.1
30PAN.X5,2.5,3.8
30PAN.X6,3,3.3
30PAN.X7,4.5,3
30PAN.X8,4,3.8
30PAN.X11,3.5,3.8
30PAN.X15,3,1.5
30PAN.X20,3.5,2.1
30PAN.X21,4,1.5
30PAN.X16,2.875,0
30PAN.X19,3.25,0
30PAN.X23,3.625,0
31POL.X1,,
31POL.X2,,
31POL.X5,,
31POL.X6,,
31POL.X9,,
31POL.X10,,
31POL.X13,,
31POL.X18,,
31POL.X19,,
31POL.X20,,
31POL.X23,,
31POL.X11,,
31POL.X14,,
31POL.X15,,
31COL.X1,,
31COL.X4,,
31COL.X5,,
31COL.X8,,
31COL.X9,,
31COL.X10,,
31COL.X11,,
31COL.X13,,
31COL.X17,,
31COL.X20,,
31COL.X23,,
31COL.X7,,
31COL.X15,,
31COL.X16,,
32JPN.X1,,
32JPN.X3,,
32JPN.X5,,
32JPN.X7,,
32JPN.X8,,
32JPN.X10,,
32JPN.X14,,
32JPN.X15,,
32JPN.X17,,
