key,p_x,p_y
22JPN.X16,3.5,3.4
22JPN.X17,3.5,2.6
22JPN.X18,1.5,3
22JPN.X22,4,2.1
22JPN.X7,3,6
22JPN.X10,3.5,6
22GRE.X1,0.5,3
22GRE.X2,3.25,3.7
22GRE.X4,2.5,3.6
22GRE.X7,4.3,2
22GRE.X8,3.8,3.9
22GRE.X9,5,3
22GRE.X15,3,4.5
22GRE.X18,3.5,4.5
22GRE.X19,2.5,2.5
22GRE.X20,3,1.5
22GRE.X21,3,3
22GRE.X10,2.875,0
22GRE.X14,3.25,0
22GRE.X17,3.625,0
23URU.X1,,
23URU.X3,,
23URU.X6,,
23URU.X7,,
23URU.X9,,
23URU.X13,,
23URU.X14,,
23URU.X17,,
23URU.X20,,
23URU.X21,,
23URU.X22,,
23URU.X4,,
23URU.X11,,
23URU.X19,,
23ENG.X1,,
23ENG.X2,,
23ENG.X3,,
23ENG.X4,,
23ENG.X5,,
23ENG.X6,,
23ENG.X9,,
23ENG.X10,,
23ENG.X11,,
23ENG.X14,,
23ENG.X19,,
23ENG.X18,,
23ENG.X20,,
23ENG.X21,,
24ITA.X1,,
24ITA.X3,,
24ITA.X4,,
24ITA.X5,,
24ITA.X6,,
24ITA.X7,,
24ITA.X8,,
24ITA.X9,,
24ITA.X15,,
24ITA.X16,,
24ITA.X21,,
24ITA.X10,,
24ITA.X11,,
24ITA.X22,,
24CRC.X1,,
24CRC.X3,,
24CRC.X4,,
24CRC.X5,,
24CRC.X6,,
24CRC.X7,,
24CRC.X9,,
24CRC.X10,,
24CRC.X15,,
24CRC.X16,,
24CRC.X17,,
24CRC.X14,,
24CRC.X21,,
24CRC.X22,,
25SUI.X1,,
25SUI.X2,,
25SUI.X5,,
25SUI.X8,,
25SUI.X9,,
25SUI.X10,,
25SUI.X11,,
25SUI.X13,,
25SUI.X18,,
25SUI.X20,,
25SUI.X23,,
25SUI.X4,,
25SUI.X15,,
25SUI.X19,,
25FRA.X1,,
25FRA.X2,,
25FRA.X3,,
25FRA.X4,,
25FRA.X5,,
25FRA.X6,,
25FRA.X8,,
25FRA.X9,,
25FRA.X10,,
25FRA.X14,,
25FRA.X18,,
25FRA.X11,,
25FRA.X19,,
25FRA.X21,,
26HON.X18,6,3
26HON.X3,4,3.6
26HON.X5,4,2.3
26HON.X7,3.5,4.5
26HON.X11,2,3
26HON.X13,1.5,3
26HON.X14,2.3,2
26HON.X15,2.3,4
26HON.X19,3.25,2.5
26HON.X20,3,3.25
26HON.X21,3.5,1.5
26HON.X6,2.875,6
26HON.X10,3.25,6
26HON.X23,3.625,6
26ECU.X22,0.5,3
26ECU.X2,1.5,3.8
26ECU.X3,1.5,2.1
26ECU.X4,2.5,4.5
26ECU.X6,3.5,3.4
26ECU.X7,3.8,2.1
26ECU.X10,2.5,1.5
26ECU.X11,4.7,3.6
26ECU.X13,4.7,2.3
26ECU.X14,2.7,3
26ECU.X16,4,4.5
26ECU.X8,2.875,0
26ECU.X21,3.25,0
26ECU.X23,3.625,0
27ARG.X1,6,3
27ARG.X2,5,3.83
27ARG.X4,3.5,1.5
27ARG.X5,3.5,2.3
27ARG.X7,3,4.3
27ARG.X9,2,3
27ARG.X10,2.3,1.9
27ARG.X14,4.3,3.2
27ARG.X16,3.5,4.5
27ARG.X17,5,2.1
27ARG.X20,1.5,3.1
27ARG.X6,2.875,6
27ARG.X18,3.25,6
27ARG.X22,3.625,6
27IRN.X12,0.5,3
27IRN.X3,4.1,2.1
27IRN.X4,2.5,3.2
27IRN.X5,2.5,2.6
27IRN.X6,3.25,3
27IRN.X7,4.2,4.5
27IRN.X14,3.25,3.83
27IRN.X15,2.5,4.5
27IRN.X16,5,3
27IRN.X21,4.7,2.1
27IRN.X23,2.5,1.5
27IRN.X2,2.875,0
27IRN.X8,3.25,0
27IRN.X9,3.625,0
28NGA.X1,,
28NGA.X2,,
28NGA.X5,,
28NGA.X7,,
28NGA.X8,,
28NGA.X9,,
28NGA.X10,,
28NGA.X13,,
28NGA.X17,,
28NGA.X18,,
28NGA.X22,,
28NGA.X3,,
28NGA.X23,,
28BIH.X1,,
28BIH.X4,,
28BIH.X7,,
28BIH.X8,,
28BIH.X10,,
28BIH.X11,,
28BIH.X13,,
28BIH.X15,,
28BIH.X16,,
28BIH.X18,,
28BIH.X20,,
28BIH.X9,,
28BIH.X14,,
28BIH.X23,,
29GER.X1,0.5,3
29GER.X4,3,1.5
29GER.X5,2,2.2
29GER.X6,3.5,3.83
29GER.X8,4.25,3
29GER.X13,5,3.1
29GER.X16,3.3,3
29GER.X17,2,4
29GER.X18,3.5,2.16
29GER.X19,4.25,2.16
29GER.X20,3,4.5
29GER.X7,2.875,0
29GER.X11,3.25,0
29GER.X21,3.625,0
29GHA.X16,6,3
29GHA.X3,1.5,3
29GHA.X7,2.7,1.5
29GHA.X9,2,3.1
29GHA.X10,2.7,3.83
29GHA.X11,3,3.1
29GHA.X17,3.6,3
29GHA.X19,5,3.83
29GHA.X20,4.3,4.5
29GHA.X21,5,2.16
29GHA.X23,4.3,1.5
29GHA.X8,2.875,6
29GHA.X13,3.25,6
29GHA.X22,3.625,6
30USA.X1,,
30USA.X4,,
30USA.X5,,
30USA.X7,,
30USA.X8,,
30USA.X11,,
30USA.X13,,
30USA.X15,,
30USA.X19,,
30USA.X20,,
30USA.X23,,
30USA.X2,,
30USA.X3,,
30USA.X18,,
30POR.X22,,
30POR.X2,,
30POR.X4,,
30POR.X7,,
30POR.X8,,
30POR.X13,,
30POR.X16,,
30POR.X17,,
30POR.X19,,
30POR.X21,,
30POR.X23,,
30POR.X6,,
30POR.X11,,
30POR.X18,,
31BEL.X1,,
31BEL.X2,,
31BEL.X3,,
31BEL.X4,,
31BEL.X6,,
31BEL.X7,,
31BEL.X8,,
31BEL.X9,,
31BEL.X10,,
31BEL.X14,,
31BEL.X15,,
31BEL.X5,,
31BEL.X11,,
31BEL.X17,,
31RUS.X1,,
31RUS.X2,,
31RUS.X4,,
31RUS.X6,,
31RUS.X8,,
31RUS.X9,,
31RUS.X14,,
31RUS.X17,,
31RUS.X19,,
31RUS.X20,,
31RUS.X23,,
31RUS.X10,,
31RUS.X11,,
31RUS.X22,,
32KOR.X1,,
32KOR.X3,,
32KOR.X5,,
32KOR.X9,,
32KOR.X10,,
32KOR.X12,,
32KOR.X13,,
32KOR.X14,,
32KOR.X16,,
32KOR.X17,,
32KOR.X20,,
32KOR.X11,,
32KOR.X18,,
32KOR.X19,,
32ALG.X23,,
32ALG.X2,,
32ALG.X5,,
32ALG.X6,,
32ALG.X10,,
32ALG.X11,,
32ALG.X12,,
32ALG.X13,,
32ALG.X14,,
32ALG.X18,,
32ALG.X20,,
32ALG.X4,,
32ALG.X8,,
32ALG.X9,,
33CMR.X16,6,3
33CMR.X3,4.2,2.1
33CMR.X7,3.1,3.83
33CMR.X8,2.2,1.5
33CMR.X10,1.5,3.2
33CMR.X12,3.8,4.5
33CMR.X13,2.2,3.2
33CMR.X17,3.5,3
33CMR.X18,3.1,2.1
33CMR.X21,4,3.83
33CMR.X22,3.8,1.5
33CMR.X11,2.875,6
33CMR.X15,3.25,6
33CMR.X20,3.625,6
33BRA.X12,0.5,3
33BRA.X2,3,4.5
33BRA.X3,2.3,3.83
33BRA.X4,2.6,2.1
33BRA.X6,3,1.5
33BRA.X7,4.7,4
33BRA.X8,3.5,3.5
33BRA.X9,5,3
33BRA.X10,4.7,2
33BRA.X11,3.7,2.2
33BRA.X17,2.8,2.8
33BRA.X5,2.875,0
33BRA.X16,3.25,0
33BRA.X19,3.625,0
34CRO.X1,,
34CRO.X2,,
34CRO.X3,,
34CRO.X4,,
34CRO.X5,,
34CRO.X6,,
34CRO.X7,,
34CRO.X10,,
34CRO.X11,,
34CRO.X17,,
34CRO.X18,,
34CRO.X9,,
34CRO.X16,,
34CRO.X20,,
34MEX.X13,,
34MEX.X2,,
34MEX.X4,,
34MEX.X6,,
34MEX.X7,,
34MEX.X10,,
34MEX.X15,,
34MEX.X18,,
34MEX.X19,,
34MEX.X22,,
34MEX.X23,,
34MEX.X8,,
34MEX.X14,,
34MEX.X21,,
35AUS.X1,6,3
35AUS.X3,3.5,4.5
35AUS.X6,4.5,3.83
35AUS.X7,2,2
35AUS.X9,1.5,3
35AUS.X11,2,4.3
35AUS.X13,2.5,2.8
35AUS.X15,3.8,3
35AUS.X17,3,3.83
35AUS.X19,3.8,1.5
35AUS.X22,4.5,2.2
35AUS.X10,2.875,6
35AUS.X14,3.25,6
35AUS.X23,3.625,6
35ESP.X23,0.5,3
35ESP.X2,2.5,3.83
35ESP.X5,3,4.5
35ESP.X6,3.6,2.3
35ESP.X7,4.7,1.5
35ESP.X9,5,3
35ESP.X14,3,3
35ESP.X15,2.7,2.1
35ESP.X17,3.6,3.8
35ESP.X18,3,1.5
35ESP.X20,4,3.8
35ESP.X10,2.875,0
35ESP.X13,3.25,0
35ESP.X21,3.625,0
36NED.X1,,
36NED.X2,,
36NED.X3,,
36NED.X5,,
36NED.X6,,
36NED.X7,,
36NED.X10,,
36NED.X11,,
36NED.X15,,
36NED.X17,,
36NED.X20,,
36NED.X14,,
36NED.X18,,
36NED.X21,,
36CHI.X1,,
36CHI.X2,,
36CHI.X4,,
36CHI.X5,,
36CHI.X7,,
36CHI.X11,,
36CHI.X16,,
36CHI.X17,,
36CHI.X18,,
36CHI.X20,,
36CHI.X21,,
36CHI.X9,,
36CHI.X10,,
36CHI.X15,,
37JPN.X1,6,3
37JPN.X2,3.7,1.5
37JPN.X4,2.8,2.8
37JPN.X5,3.25,4.5
37JPN.X9,2.6,2.5
37JPN.X10,3,4
37JPN.X13,2,3
37JPN.X14,3.25,2.6
37JPN.X15,4.3,3.7
37JPN.X17,3.25,3.2
37JPN.X22,4.3,2.1
37JPN.X8,2.875,6
37JPN.X11,3.25,6
37JPN.X16,3.625,6
