key2,p_x,p_y
17RSA.X10,0,0
17RSA.X11,0,0
17RSA.X12,0,0
17RSA.X13,0,0
17RSA.X1,0,0
17RSA.X19,0,0
17URU.X2,0,0
17URU.X3,0,0
17URU.X4,0,0
17URU.X16,0,0
17URU.X7,0,0
17URU.X9,0,0
17URU.X10,0,0
17URU.X1,0,0
17URU.X11,0,0
17URU.X15,0,0
17URU.X17,0,0
17URU.X5,0,0
17URU.X20,0,0
17URU.X21,0,0
18FRA.X2,2,4.5
18FRA.X3,1.5,2.16
18FRA.X5,1.5,3.83
18FRA.X13,2,1.5
18FRA.X7,4.5,3
18FRA.X10,3.5,4.5
18FRA.X21,5,3
18FRA.X1,0.5,3
18FRA.X14,2.75,3.83
18FRA.X15,3.5,1.5
18FRA.X19,2.75,2.16
18FRA.X11,3,0
18FRA.X20,3.5,0
18MEX.X2,5,3.83
18MEX.X3,4.5,4.5
18MEX.X4,3.5,3
18MEX.X5,4.5,1.5
18MEX.X15,5,2.16
18MEX.X16,3.25,2.16
18MEX.X9,1.5,3
18MEX.X11,2,4.16
18MEX.X17,2,1.83
18MEX.X1,6,3
18MEX.X6,3.25,3.83
18MEX.X7,2.875,6
18MEX.X10,3.25,6
18MEX.X14,3.625,6
19GRE.X8,0,0
19GRE.X11,0,0
19GRE.X15,0,0
19GRE.X16,0,0
19GRE.X19,0,0
19GRE.X14,0,0
19GRE.X17,0,0
19GRE.X12,0,0
19GRE.X6,0,0
19GRE.X10,0,0
19GRE.X21,0,0
19GRE.X7,0,0
19GRE.X18,0,0
19NGA.X2,0,0
19NGA.X3,0,0
19NGA.X6,0,0
19NGA.X17,0,0
19NGA.X8,0,0
19NGA.X11,0,0
19NGA.X1,0,0
19NGA.X12,0,0
19NGA.X14,0,0
19NGA.X15,0,0
19NGA.X20,0,0
19NGA.X5,0,0
19NGA.X19,0,0
19NGA.X21,0,0
20ARG.X2,0,0
20ARG.X6,0,0
20ARG.X13,0,0
20ARG.X9,0,0
20ARG.X10,0,0
20ARG.X11,0,0
20ARG.X22,0,0
20ARG.X7,0,0
20ARG.X14,0,0
20ARG.X17,0,0
20ARG.X20,0,0
20ARG.X4,0,0
20ARG.X5,0,0
20ARG.X16,0,0
20KOR.X2,0,0
20KOR.X4,0,0
20KOR.X12,0,0
20KOR.X14,0,0
20KOR.X10,0,0
20KOR.X18,0,0
20KOR.X7,0,0
20KOR.X8,0,0
20KOR.X16,0,0
20KOR.X17,0,0
20KOR.X19,0,0
20KOR.X5,0,0
20KOR.X20,0,0
21GER.X3,0,0
21GER.X14,0,0
21GER.X16,0,0
21GER.X17,0,0
21GER.X10,0,0
21GER.X11,0,0
21GER.X1,0,0
21GER.X6,0,0
21GER.X7,0,0
21GER.X8,0,0
21GER.X13,0,0
21GER.X19,0,0
21GER.X21,0,0
21GER.X23,0,0
21SRB.X3,0,0
21SRB.X5,0,0
21SRB.X6,0,0
21SRB.X20,0,0
21SRB.X15,0,0
21SRB.X1,0,0
21SRB.X10,0,0
21SRB.X14,0,0
21SRB.X17,0,0
21SRB.X18,0,0
21SRB.X22,0,0
21SRB.X4,0,0
21SRB.X8,0,0
21SRB.X19,0,0
22SVN.X2,0,0
22SVN.X4,0,0
22SVN.X5,0,0
22SVN.X13,0,0
22SVN.X9,0,0
22SVN.X11,0,0
22SVN.X1,0,0
22SVN.X8,0,0
22SVN.X10,0,0
22SVN.X17,0,0
22SVN.X18,0,0
22SVN.X7,0,0
22SVN.X14,0,0
22SVN.X20,0,0
22USA.X3,0,0
22USA.X5,0,0
22USA.X6,0,0
22USA.X15,0,0
22USA.X17,0,0
22USA.X20,0,0
22USA.X1,0,0
22USA.X4,0,0
22USA.X8,0,0
22USA.X10,0,0
22USA.X16,0,0
22USA.X9,0,0
22USA.X19,0,0
22USA.X22,0,0
23ALG.X2,0,0
23ALG.X3,0,0
23ALG.X4,0,0
23ALG.X5,0,0
23ALG.X23,0,0
23ALG.X7,0,0
23ALG.X8,0,0
23ALG.X13,0,0
23ALG.X15,0,0
23ALG.X19,0,0
23ALG.X21,0,0
23ALG.X17,0,0
23ALG.X20,0,0
23ALG.X22,0,0
23ENG.X2,0,0
23ENG.X3,0,0
23ENG.X6,0,0
23ENG.X18,0,0
23ENG.X10,0,0
23ENG.X21,0,0
23ENG.X1,0,0
23ENG.X4,0,0
23ENG.X7,0,0
23ENG.X8,0,0
23ENG.X14,0,0
23ENG.X9,0,0
23ENG.X17,0,0
23ENG.X19,0,0
24AUS.X2,0,0
24AUS.X3,0,0
24AUS.X8,0,0
24AUS.X21,0,0
24AUS.X10,0,0
24AUS.X14,0,0
24AUS.X23,0,0
24AUS.X1,0,0
24AUS.X5,0,0
24AUS.X7,0,0
24AUS.X16,0,0
24AUS.X9,0,0
24AUS.X11,0,0
24AUS.X17,0,0
24GHA.X2,0,0
24GHA.X4,0,0
24GHA.X8,0,0
24GHA.X19,0,0
24GHA.X3,0,0
24GHA.X12,0,0
24GHA.X23,0,0
24GHA.X22,0,0
24GHA.X6,0,0
24GHA.X13,0,0
24GHA.X21,0,0
24GHA.X11,0,0
24GHA.X14,0,0
24GHA.X20,0,0
25JPN.X3,4.5,4.5
25JPN.X4,5,3.83
25JPN.X5,4.5,2.16
25JPN.X22,5,2.16
25JPN.X16,2,3.83
25JPN.X21,6,3
25JPN.X2,3,3
25JPN.X7,3,3.83
25JPN.X8,3,2.16
25JPN.X17,2,2.16
25JPN.X18,1.5,3
25JPN.X9,2.875,6
25JPN.X10,3.25,6
25JPN.X11,3.625,6
25NED.X2,2,4.5
25NED.X3,1.5,3.83
25NED.X4,1.5,2.16
25NED.X5,2,1.5
25NED.X7,4.5,3.83
25NED.X9,5,3
25NED.X1,0.5,3
25NED.X6,3,3.83
25NED.X8,3,2.16
25NED.X10,3.5,3
25NED.X23,4.5,1.5
25NED.X17,2.875,0
25NED.X20,3.25,0
25NED.X21,3.625,0
26CMR.X2,4.7,4.5
26CMR.X3,5,2.16
26CMR.X5,5,3.83
26CMR.X8,3.5,1.83
26CMR.X19,4.7,1.5
26CMR.X9,2,3.83
26CMR.X10,3,4.16
26CMR.X15,2,2.16
26CMR.X16,6,3
26CMR.X6,3,1.83
26CMR.X18,3.5,4.16
26CMR.X11,2.875,6
26CMR.X17,3.25,6
26CMR.X23,3.625,6
26DEN.X3,1.5,3.83
26DEN.X4,1.5,2.16
26DEN.X6,2,4.5
26DEN.X15,2,1.5
26DEN.X8,3.75,3.83
26DEN.X9,4.25,1.5
26DEN.X11,5,3
26DEN.X19,4.25,4.5
26DEN.X1,0.5,3
26DEN.X2,3,3
26DEN.X10,3.75,2.16
26DEN.X7,2.875,0
26DEN.X12,3.25,0
26DEN.X14,3.625,0
27PAR.X3,0,0
27PAR.X14,0,0
27PAR.X21,0,0
27PAR.X9,0,0
27PAR.X18,0,0
27PAR.X19,0,0
27PAR.X1,0,0
27PAR.X6,0,0
27PAR.X13,0,0
27PAR.X15,0,0
27PAR.X16,0,0
27PAR.X7,0,0
27PAR.X8,0,0
27PAR.X17,0,0
27SVK.X2,0,0
27SVK.X3,0,0
27SVK.X16,0,0
27SVK.X21,0,0
27SVK.X9,0,0
27SVK.X11,0,0
27SVK.X1,0,0
27SVK.X6,0,0
27SVK.X7,0,0
27SVK.X8,0,0
27SVK.X17,0,0
27SVK.X13,0,0
27SVK.X15,0,0
28ITA.X3,0,0
28ITA.X4,0,0
28ITA.X5,0,0
28ITA.X19,0,0
28ITA.X9,0,0
28ITA.X11,0,0
28ITA.X12,0,0
28ITA.X6,0,0
28ITA.X7,0,0
28ITA.X15,0,0
28ITA.X22,0,0
28ITA.X10,0,0
28ITA.X16,0,0
28ITA.X20,0,0
28NZL.X3,0,0
28NZL.X4,0,0
28NZL.X5,0,0
28NZL.X6,0,0
28NZL.X19,0,0
28NZL.X9,0,0
28NZL.X10,0,0
28NZL.X14,0,0
28NZL.X1,0,0
28NZL.X7,0,0
28NZL.X11,0,0
28NZL.X13,0,0
28NZL.X20,0,0
28NZL.X21,0,0
29BRA.X2,0,0
29BRA.X3,0,0
29BRA.X4,0,0
29BRA.X6,0,0
29BRA.X9,0,0
29BRA.X11,0,0
29BRA.X1,0,0
29BRA.X5,0,0
29BRA.X7,0,0
29BRA.X8,0,0
29BRA.X10,0,0
29BRA.X13,0,0
29BRA.X18,0,0
29CIV.X4,0,0
29CIV.X17,0,0
29CIV.X20,0,0
29CIV.X21,0,0
29CIV.X8,0,0
29CIV.X11,0,0
29CIV.X15,0,0
29CIV.X1,0,0
29CIV.X5,0,0
29CIV.X9,0,0
29CIV.X19,0,0
29CIV.X10,0,0
29CIV.X13,0,0
29CIV.X18,0,0
30POR.X2,1.5,2
30POR.X6,1.5,4
30POR.X13,2,4.5
30POR.X23,2,1.5
30POR.X7,4.35,4.25
30POR.X11,4.35,1.65
30POR.X18,5,3
30POR.X1,0.5,3
30POR.X8,3,3
30POR.X16,3.5,1.83
30POR.X19,3.5,4.25
30POR.X5,2.875,0
30POR.X9,3.25,0
30POR.X14,3.625,0
30PRK.X2,4.7,1.5
30PRK.X3,4.7,3
30PRK.X5,4.7,4.5
30PRK.X8,5,3.83
30PRK.X13,5,2.16
30PRK.X9,1.7,3
30PRK.X10,3,4.16
30PRK.X1,6,3
30PRK.X4,2.7,3
